DAYS,AAPL,SPX,VIX,SPGSCITR,BNDGLB,EEM,RETURN
1,0.97,885.23,23.41,3754.05,219.07,11.2222,0.028741118
2,0.9564,890.81,22.56,3808.45,219.53,11.3556,-0.014020619
3,0.9457,879.91,22.52,3805.78,220,11.4867,-0.011187788
4,0.9371,893.58,21.5,3882.44,220.33,11.5689,-0.009093793
8,0.9386,892.01,21.95,3906.35,220.01,11.5644,0.001600683
9,0.965,911.37,20.7,3844.8,220.57,11.6033,0.028126998
10,0.97,919.02,20.8,3747.15,220.46,11.6578,0.005181347
11,0.96,911.43,20.33,3735.89,221.43,11.4278,-0.010309278
12,0.9536,898.81,20.8,3718.58,221.57,11.2389,-0.006666667
15,0.99,914.84,20.84,3626.95,221.54,11.4244,0.038171141
16,1.0043,917.84,20.76,3608.76,221.47,11.75,0.014444444
17,1.0157,916.92,21.21,3660.66,222.87,11.7167,0.01135119
18,1.0257,916.3,21.59,3665.54,223.41,11.6711,0.009845427
19,1.0321,930.08,20.63,3632.09,222.87,11.85,0.006239641
22,1.1493,926.55,21.13,3716.24,223.33,11.9778,0.113554888
23,1.25,934.39,20.8,3673.15,224.27,12.0389,0.08761855
24,1.2607,929.62,21,3719.44,225.3,12.0167,0.00856
25,1.2857,920.27,21.24,3783.62,225.75,11.9111,0.019830253
26,1.3071,933.41,19.69,3859.72,225.73,12.0511,0.016644629
29,1.3257,945.11,19.52,3861.48,226.3,12.2189,0.014229975
30,1.3336,942.3,19.91,3958.41,226.35,12.15,0.005959116
31,1.325,939.28,20,4006.34,227.03,12.0889,-0.00644871
32,1.3379,946.67,19.24,3974.73,226.97,12.1133,0.009735849
33,1.3429,944.3,18.4,3993.49,227.73,12.1222,0.0037372
36,1.2929,920.77,20.51,3938.69,228.13,11.8333,-0.037232854
37,1.2707,919.73,21.29,3946.95,228.53,11.8922,-0.017170702
38,1.275,923.42,21.21,4005.03,228.49,11.9022,0.003383962
39,1.3029,931.87,19.78,3973.49,228.66,12.01,0.021882353
40,1.3086,933.22,19.17,3992.19,229.19,12.1333,0.004374856
44,1.3486,951.48,19.99,3981.72,229.09,12.5678,0.030567018
45,1.3057,953.22,20.03,3926.71,228.06,12.6222,-0.031810767
46,1.2929,949.64,20.43,3972.46,228.06,12.6389,-0.009803171
47,1.2821,963.59,19.47,4011.64,228.63,12.7856,-0.008353314
50,1.2464,967,20.85,4104.09,228.28,12.8778,-0.027844942
51,1.2364,971.56,20.84,4089.29,228.83,12.78,-0.008023107
52,1.2571,986.24,20.62,4041.7,229.12,12.9444,0.016742155
53,1.26,990.14,20.83,4105.62,229.68,12.9578,0.002306897
54,1.225,987.76,21.25,4142.31,228.95,13.0789,-0.027777778
57,1.1993,975.93,22.15,4136.59,229.97,12.9667,-0.020979592
58,1.2271,984.84,20.64,4160.42,230.5,13.1,0.023180188
59,1.2464,997.48,20.21,4176.4,230.82,13.1111,0.01572814
60,1.2693,998.51,20.41,4064.2,230.97,13.21,0.018372914
61,1.2443,988.61,20.66,3976.52,231.74,13.2056,-0.019695895
64,1.305,1010.74,20.22,3989.84,231.47,13.3478,0.048782448
65,1.2993,1011.66,20.01,4002.07,230.6,13.6222,-0.004367816
66,1.3657,1010.09,19.76,3956.1,229.39,13.5722,0.051104441
67,1.3671,994.7,19.8,3966.59,229.26,13.5722,0.001025115
68,1.3714,995.69,19.14,4015.07,228.93,13.5722,0.003145344
71,1.3614,981.64,20.58,3990.3,229.28,13.2389,-0.007291819
72,1.3414,983.45,20.75,3944.08,229.56,13.1411,-0.01469076
73,1.3636,975.32,20.81,4040.3,229.18,13.25,0.016549873
74,1.3779,985.82,19.4,3926.79,227.32,13.3933,0.010486946
75,1.3379,976.22,19.16,3951.63,226.86,13.3311,-0.029029683
78,1.3614,974.5,19.52,4020.44,227.23,13.3222,0.01756484
79,1.3636,982.32,19.46,4031.15,227.58,13.4667,0.001615984
80,1.3764,993.75,19.03,4012.35,227.46,13.7833,0.009386917
81,1.3664,985.7,19.39,4025.28,226.75,13.8222,-0.00726533
85,1.4193,1004.42,20.06,4021.4,225.92,14.1644,0.038714871
86,1.4571,1007.84,19.48,4049.2,225.55,14.2044,0.026632847
87,1.4207,1002.21,18.93,4113.26,225.99,14.1711,-0.024981127
88,1.3986,988.7,19.19,4091.17,226.36,13.9222,-0.015555712
89,1.4179,998.14,18.47,4101.7,226.62,14.0389,0.013799514
92,1.4214,1003.86,19.59,4093.1,226.21,14.2856,0.002468439
93,1.4007,1000.42,19.55,4078.1,224.66,14.1056,-0.014563107
94,1.4193,994,19.76,4018.7,224.02,14.1167,0.013279075
95,1.4929,981.73,20.22,4049.38,224.25,13.7478,0.051856549
96,1.4899,993.32,19.11,4079.57,224.02,13.9311,-0.002009512
99,1.4721,978.8,19.78,4072.85,224.03,13.7467,-0.011947111
100,1.4857,988.11,19.17,3950.28,223.11,13.9111,0.009238503
101,1.485,988.61,18.64,3976.48,223.24,13.8222,-0.000471158
102,1.465,981.6,18.6,4004.97,223.94,13.8889,-0.013468013
103,1.5386,998.68,17.75,4009.47,223.79,14.1167,0.050238908
106,1.4993,996.52,18.36,4011.99,223.94,14.1944,-0.025542701
107,1.48,989.28,18.67,4016.37,222.8,14.1144,-0.012872674
108,1.4486,987.49,18.85,4043.69,221.96,14.0111,-0.021216216
109,1.5057,990.31,19.49,4049.07,221.83,14.0778,0.039417368
110,1.4807,980.15,20.75,4199.54,219.94,14.1089,-0.016603573
113,1.515,982.82,21.27,4144.73,219.92,14.0467,0.023164719
114,1.4557,965.46,22.68,4176.4,220.83,13.8956,-0.039141914
115,1.4021,967.08,21.5,4158.54,220.83,13.8333,-0.036820774
116,1.4236,974.12,20.26,4237.61,221.49,13.9344,0.015334142
117,1.4029,977.59,19.59,4212.65,222.51,14.0278,-0.014540601
120,1.4043,980.59,19.75,4205.42,222.48,14.0889,0.000997933
121,1.4071,990.35,17.94,4220.84,222.01,14.1444,0.001993876
122,1.4414,984.03,18.77,4151.16,222.02,14.3444,0.024376377
123,1.4264,990.51,18.47,4142.15,220.19,14.5333,-0.010406549
124,1.4079,990.67,18.27,4137.35,219.86,14.3889,-0.012969714
127,1.4529,999.74,18.18,4149.33,220.11,14.6956,0.031962497
128,1.4514,1002.35,17.86,4134.18,220.15,14.7678,-0.001032418
129,1.5007,1000.3,17.82,4186.3,220.65,14.77,0.033967204
130,1.5486,1003.27,17.84,4264.33,220.59,15.0411,0.031918438
131,1.4914,993.06,18.55,4273.77,219.81,15.1178,-0.036936588
134,1.49,993.71,19.53,4231.75,219.93,15,-0.000938715
135,1.5036,996.73,19.49,4244.63,219.67,14.8167,0.009127517
136,1.5343,996.79,19.13,4181.75,219.84,14.9889,0.020417664
137,1.585,1002.84,18.48,4205.73,219.49,15.0933,0.033044385
138,1.615,1008.01,18.63,4214.54,220.42,15.2022,0.018927445
142,1.6321,1021.99,19.02,4036.23,220.73,15.4278,0.010588235
143,1.6393,1026.27,19.44,4053.61,219.01,15.55,0.004411494
144,1.6307,1027.97,18.71,4035.96,218.95,15.6056,-0.005246142
145,1.6071,1021.39,18.17,4026.32,219.86,15.5911,-0.014472313
148,1.6243,1031.64,18.26,4021.44,221.7,15.8867,0.010702508
